LocID,Year,Boarding
ATL,2016,50501858
LAX,2016,39636042
ORD,2016,37589899
DFW,2016,31283579
JFK,2016,29239151
DEN,2016,28267394
SFO,2016,25707101
LAS,2016,22833267
SEA,2016,21887110
CLT,2016,21511880
PHX,2016,20896265
MIA,2016,20875813
MCO,2016,20283541
IAH,2016,20062072
EWR,2016,19923009
MSP,2016,18123844
BOS,2016,17759044
DTW,2016,16847135
LGA,2016,14762593
PHL,2016,14564419
FLL,2016,14263270
BWI,2016,12340972
DCA,2016,11470854
SLC,2016,11143738
MDW,2016,11044387
IAD,2016,10596942
SAN,2016,10340164
HNL,2016,9656340
TPA,2016,9194994
PDX,2016,9071154
DAL,2016,7554596
STL,2016,6793076
BNA,2016,6338517
HOU,2016,6285181
AUS,2016,6095545
OAK,2016,5934639
MSY,2016,5569705
RDU,2016,5401714
MCI,2016,5391557
SJC,2016,5321603
SNA,2016,5217242
SMF,2016,4969366
SJU,2016,4343354
RSW,2016,4239261
IND,2016,4216766
SAT,2016,4179994
CLE,2016,4083476
PIT,2016,3986114
CMH,2016,3567864
OGG,2016,3352813
MKE,2016,3327536
CVG,2016,3269979
PBI,2016,3100624
BDL,2016,2982194
JAX,2016,2729129
ANC,2016,2563524
ABQ,2016,2341719
BUF,2016,2313724
OMA,2016,2127387
ONT,2016,2104625
BUR,2016,2077892
MEM,2016,2016089
CHS,2016,1811695
PVD,2016,1803000
OKC,2016,1796473
RIC,2016,1777648
RNO,2016,1771864
BOI,2016,1633507
SDF,2016,1631494
ORF,2016,1602631
TUS,2016,1594594
GEG,2016,1570652
KOA,2016,1569602
LIH,2016,1458940
GUM,2016,1444299
ELP,2016,1414376
ALB,2016,1388860
LGB,2016,1386357
TUL,2016,1342315
GRR,2016,1334979
SFB,2016,1321675
BHM,2016,1304467
DSM,2016,1216357
ROC,2016,1186002
SAV,2016,1056265
DAY,2016,1019922
PSP,2016,995801
MHT,2016,995403
GSP,2016,991276
SYR,2016,988496
LIT,2016,958824
MYR,2016,944849
PIE,2016,915672
MSN,2016,903155
TYS,2016,887103
PWM,2016,886343
GSO,2016,848261
PNS,2016,792916
ICT,2016,781944
HPN,2016,766170
FAT,2016,761298
STT,2016,729382
IWA,2016,705731
CAK,2016,685553
XNA,2016,673810
COS,2016,657694
ITO,2016,640757
LEX,2016,638316
ISP,2016,597133
BTV,2016,593311
SRQ,2016,589860
MDT,2016,589511
ACY,2016,589091
PGD,2016,558482
CAE,2016,553658
BZN,2016,553245
CID,2016,547786
FAI,2016,538881
HSV,2016,527801
FSD,2016,510105
JAN,2016,491464
EUG,2016,483224
MAF,2016,471490
SGF,2016,462126
LBB,2016,448093
VPS,2016,440002
ECP,2016,434302
GSN,2016,430275
BIL,2016,423213
CHA,2016,422442
JNU,2016,420442
AVL,2016,416939
BLI,2016,415285
ILM,2016,413185
FAR,2016,402976
MFR,2016,401469
FNT,2016,398508
MSO,2016,381582
EYW,2016,380505
PSC,2016,374301
MLI,2016,364393
BTR,2016,364200
FWA,2016,360369
MFE,2016,355224
TLH,2016,345404
DAB,2016,342495
JAC,2016,342044
AMA,2016,334815
SBN,2016,329957
SBA,2016,329751
CRP,2016,325815
ABE,2016,324511
GCN,2016,319206
PIA,2016,307189
RDM,2016,306517
ROA,2016,305212
GPT,2016,305157
CHO,2016,295930
GRB,2016,292868
MOB,2016,288209
TTN,2016,278436
BIS,2016,273980
RAP,2016,272537
AGS,2016,270797
ATW,2016,270633
SHV,2016,270395
BGR,2016,269013
HRL,2016,263760
BQN,2016,257871
ASE,2016,254392
GPI,2016,247816
AVP,2016,232855
FAY,2016,224541
TVC,2016,223924
MLB,2016,220360
GJT,2016,218319
CRW,2016,213412
BVU,2016,211615
LFT,2016,206667
GNV,2016,206330
TRI,2016,204926
EVV,2016,204352
PHF,2016,199421
STX,2016,196047
MRY,2016,192136
BMI,2016,188490
DRO,2016,187789
GTF,2016,176730
MGM,2016,173210
STS,2016,167151
EGE,2016,163840
LNK,2016,162876
SBP,2016,162719
LAN,2016,161863
GRK,2016,157161
BET,2016,155791
AZO,2016,154242
MOT,2016,150634
OAJ,2016,149987
IDA,2016,146213
LBE,2016,146127
SWF,2016,140328
ELM,2016,139583
UNV,2016,134312
GFK,2016,132557
AEX,2016,129776
PBG,2016,129622
1G4,2016,128739
KTN,2016,127881
ACK,2016,126197
IAG,2016,126028
DLH,2016,124284
MBS,2016,122469
BRO,2016,120151
CWA,2016,119222
MTJ,2016,116272
RST,2016,112864
IFP,2016,109334
HDN,2016,107339
EWN,2016,106110
PSE,2016,105804
HLN,2016,103239
LCK,2016,102751
MLU,2016,102342
RFD,2016,101790
LRD,2016,101115
BFL,2016,100433
HTS,2016,98489
LSE,2016,94047
SPI,2016,93269
SCK,2016,93076
CPR,2016,92805
MKK,2016,92560
TOL,2016,92522
ENA,2016,92485
JQF,2016,90338
CMI,2016,89318
ITH,2016,88692
ERI,2016,87647
ABI,2016,84809
FSM,2016,83920
SIT,2016,83404
BLV,2016,79988
ADQ,2016,79682
CLL,2016,78907
SGU,2016,78680
PVU,2016,78451
SUN,2016,77729
LYH,2016,75465
NYL,2016,74742
PSM,2016,73247
LWS,2016,72724
SAF,2016,71252
YKM,2016,70993
ACV,2016,69732
GRI,2016,68879
ISN,2016,68829
BGM,2016,68415
PPG,2016,65439
COU,2016,65014
FLG,2016,64578
OTZ,2016,64481
ACT,2016,64356
MHK,2016,63761
HND,2016,63445
VQS,2016,63104
PUW,2016,61833
OME,2016,60655
SJT,2016,60277
EAT,2016,60068
SBY,2016,58695
ORH,2016,57800
MVY,2016,54084
YNG,2016,53633
LCH,2016,53576
TYR,2016,52494
SCC,2016,51205
LAW,2016,51088
DHN,2016,49411
PGV,2016,47457
ALW,2016,47439
SAW,2016,45462
BRW,2016,45300
FLO,2016,45300
CSG,2016,44813
ROW,2016,44378
HOM,2016,44117
RDD,2016,43414
LNY,2016,43275
RVR,2016,43005
GTR,2016,40823
COD,2016,40340
VLD,2016,40275
SPS,2016,40165
SMX,2016,40120
TWF,2016,38869
TNI,2016,38452
DBQ,2016,37954
AKN,2016,36717
SUX,2016,36413
BQK,2016,36054
GUC,2016,34979
PIH,2016,34462
ABY,2016,34226
DLG,2016,33616
TXK,2016,33565
CPX,2016,31141
DUT,2016,31055
HYA,2016,31027
HXD,2016,30956
SGJ,2016,28462
GCC,2016,28383
JLN,2016,27930
HVN,2016,27911
HGR,2016,27274
ALO,2016,27069
GCK,2016,26825
ABR,2016,26529
BPT,2016,26518
MEI,2016,26359
CKB,2016,26025
BTM,2016,25890
BJI,2016,25510
PLN,2016,25497
CMX,2016,25439
SIG,2016,24054
OWB,2016,23537
LHD,2016,23382
GGG,2016,22480
PSG,2016,21896
MMH,2016,21826
EAU,2016,21304
CIU,2016,20974
RHI,2016,20414
PAH,2016,20266
IPT,2016,19320
GRO,2016,19178
MRI,2016,19144
CDV,2016,18649
BRD,2016,18328
MKG,2016,18165
