Airport_Code,Year,TotalClaims,Claim_Type,Total_Enplanement,PctClaims
ABE,2013,5,Property Damage,301969,0.0017%
ABE,2013,3,Passenger Property Loss,301969,0.0010%
ABE,2013,1,Unknown,301969,0.0003%
ABE,2014,2,Property Damage,298306,0.0007%
ABE,2014,1,Passenger Property Loss,298306,0.0003%
ABE,2015,3,Property Damage,320544,0.0009%
ABE,2015,1,Passenger Property Loss,320544,0.0003%
ABE,2016,3,Property Damage,324511,0.0009%
ABE,2016,2,Passenger Property Loss,324511,0.0006%
ABE,2017,3,Property Damage,328914,0.0009%
ABI,2013,3,Property Damage,82758,0.0036%
ABI,2013,1,Unknown,82758,0.0012%
ABI,2014,5,Property Damage,93656,0.0053%
ABI,2014,1,Passenger Property Loss,93656,0.0011%
ABI,2015,2,Passenger Property Loss,86000,0.0023%
ABQ,2013,24,Passenger Property Loss,2477783,0.0010%
ABQ,2013,14,Property Damage,2477783,0.0006%
ABQ,2013,1,Complaint,2477783,0.0000%
ABQ,2014,18,Passenger Property Loss,2354184,0.0008%
ABQ,2014,15,Property Damage,2354184,0.0006%
ABQ,2015,9,Passenger Property Loss,2323883,0.0004%
ABQ,2015,6,Property Damage,2323883,0.0003%
ABQ,2015,1,Unknown,2323883,0.0000%
ABQ,2016,16,Passenger Property Loss,2341719,0.0007%
ABQ,2016,12,Property Damage,2341719,0.0005%
ABQ,2017,23,Property Damage,2412328,0.0010%
ABQ,2017,21,Passenger Property Loss,2412328,0.0009%
ABR,2013,1,Passenger Property Loss,25567,0.0039%
ABR,2015,2,Passenger Property Loss,27595,0.0072%
ABR,2015,1,Property Damage,27595,0.0036%
ABR,2015,1,Complaint,27595,0.0036%
ABY,2016,2,Passenger Property Loss,34226,0.0058%
ABY,2017,1,Property Damage,37920,0.0026%
ACK,2013,1,Property Damage,183557,0.0005%
ACK,2013,1,Passenger Property Loss,183557,0.0005%
ACK,2014,1,Property Damage,170361,0.0006%
ACK,2014,1,Passenger Property Loss,170361,0.0006%
ACK,2015,1,Passenger Property Loss,155952,0.0006%
ACK,2016,2,Property Damage,126197,0.0016%
ACT,2013,1,Passenger Property Loss,62634,0.0016%
ACT,2013,1,Property Damage,62634,0.0016%
ACT,2014,1,Passenger Property Loss,66631,0.0015%
ACT,2014,1,Unknown,66631,0.0015%
ACT,2015,1,Passenger Property Loss,62882,0.0016%
ACT,2016,2,Passenger Property Loss,64356,0.0031%
ACT,2017,6,Passenger Property Loss,58888,0.0102%
ACV,2015,1,Passenger Property Loss,55168,0.0018%
ACV,2016,1,Passenger Property Loss,69732,0.0014%
ACV,2016,1,Property Damage,69732,0.0014%
ACY,2013,6,Passenger Property Loss,553695,0.0011%
ACY,2013,4,Property Damage,553695,0.0007%
ACY,2013,1,Motor Vehicle,553695,0.0002%
ACY,2014,5,Property Damage,594346,0.0008%
ACY,2014,3,Passenger Property Loss,594346,0.0005%
ACY,2015,4,Property Damage,587967,0.0007%
ACY,2015,2,Passenger Property Loss,587967,0.0003%
ACY,2016,4,Property Damage,589091,0.0007%
ACY,2016,1,Passenger Property Loss,589091,0.0002%
ACY,2016,1,Missed Flight,589091,0.0002%
ACY,2017,4,Passenger Property Loss,552690,0.0007%
ACY,2017,2,Property Damage,552690,0.0004%
ACY,2017,1,Complaint,552690,0.0002%
ADK,2015,1,Passenger Property Loss,,
ADK,2017,1,Passenger Property Loss,,
ADQ,2014,1,Property Damage,79966,0.0013%
ADQ,2015,1,Property Damage,81970,0.0012%
AEX,2013,2,Property Damage,183899,0.0011%
