Airport_Code,Airport_Name,State,StateName,City,County
ABE,"Lehigh Valley International Airport, Allentown",PA,Pennsylvania,Allentown,Lehigh
ABI,Abilene Regional,TX,Texas,Abilene,Taylor
ABQ,Albuquerque International Sunport Airport,NM,New Mexico,Albuquerque,Bernalillo
ABR,Aberdeen Regional Airport,SD,South Dakota,Aberdeen,Brown
ABY,Southwest Georgia Regional Airport,GA,Georgia,Albany,Dougherty
ACK,Nantucket Memorial Airport,MA,Massachusetts,Nantucket,Nantucket
ACT,Waco Regional Airport,TX,Texas,Waco,Mc Lennan
ACV,Arcata-Eureka,CA,California,Arcata/Eureka,Humboldt
ACY,Atlantic City International,NJ,New Jersey,Atlantic City,Atlantic
ADK,Adak Mitchell Field Airport,AK,Alaska,Adak Island,Aleutians West
ADQ,Kodiak State Airport,AK,Alaska,Kodiak,Kodiak Island
AEX,Alexandria International Airport,LA,Louisiana,Alexandria,Rapides
AGS,Bush Field,GA,Georgia,Augusta,Richmond
AIA,Alliance Municipal Airport,NE,Nebraska,Alliance,Box Butte
AKN,King Salmon,AK,Alaska,King Salmon,Bristol Bay
ALB,Albany International,NY,New York,Albany,Albany
ALO,Waterloo Municipal Airport,IA,Iowa,Waterloo,Black Hawk
ALW,Walla Walla Regional Airport,WA,Washington,Walla Walla,Walla Walla
AMA,Rick Husband Amarillo International Airport,TX,Texas,Amarillo,Potter
ANC,Ted Stevens Anchorage International Airport,AK,Alaska,Anchorage,Anchorage
APN,Alpena County Regional Airport,MI,Michigan,Alpena,Alpena
ART,Watertown International,NY,New York,Watertown,Jefferson
ASE,Aspen Pitkin County Sardy Field,CO,Colorado,Aspen,Pitkin
ATL,Hartsfield-Jackson Atlanta International Airport,GA,Georgia,Atlanta,Fulton
ATW,Outagamie County,WI,Wisconsin,Appleton,Outagamie
AUS,Austin-Bergstrom International Airport,TX,Texas,Austin,Travis
AVL,Asheville Regional Airport,NC,North Carolina,Asheville,Buncombe
AVP,Wilkes-Barre/Scranton International,PA,Pennsylvania,Wilkes-Barre/Scranton,Luzerne
AZO,Kalamazoo/Battle Creek International,MI,Michigan,Kalamazoo,Kalamazoo
BDL,Bradley International Airport,CT,Connecticut,Windsor Locks,Hartford
BFD,Bradford Regional,PA,Pennsylvania,Bradford,Mc Kean
BFF,West Nebraska Regional - William Heilig Field,NE,Nebraska,Scottsbluff,Scotts Bluff
BFL,"Meadows Field, Bakersfield Airport",CA,California,Bakersfield,Kern
BGM,Greater Binghamton Airport,NY,New York,Binghamton,Broome
BGR,Bangor International Airport,ME,Maine,Bangor,Penobscot
BHB,Hancock County Bar Harbor,ME,Maine,Bar Harbor,Hancock
BHM,Birmingham International Airport,AL,Alabama,Birmingham,Jefferson
BIL,"Billings, MT",MT,Montana,Billings,Yellowstone
BIS,Bismarck Municipal,ND,North Dakota,Bismarck,Burleigh
BJI,"Bemidji, MN",MN,Minnesota,Bemidji,Beltrami
BKG,Branson Airport,Unknown,Unknown,Unknown,Unknown
BLI,Bellingham International,WA,Washington,Bellingham,Whatcom
BLV,Midamerica Airport,IL,Illinois,Belleville,St Clair
BMI,Bloomington-Normal Airport,IL,Illinois,Bloomington/Normal,Mc Lean
BNA,Nashville International,TN,Tennessee,Nashville,Davidson
BOI,Boise Air Terminal/Gowen Field,ID,Idaho,Boise,Ada
BOS,Boston (Logan) International Airport,MA,Massachusetts,Boston,Suffolk
BPT,Southeast Texas Regional,TX,Texas,Beaumont/Port Arthur,Jefferson
BQK,Glynco Jetport,GA,Georgia,Brunswick,Glynn
BQN,Rafael Hernandez,PR,Puerto Rico,Aguadilla,Unknown
BRD,"Brainerd, MN",MN,Minnesota,Brainerd,Crow Wing
BRL,Southeast Iowa Regional,IA,Iowa,Burlington,Des Moines
BRO,Brownsville/South Padre International,TX,Texas,Brownsville,Cameron
BRW,Wiley Post/Will Rogers Memorial,AK,Alaska,Barrow,North Slope
BTM,Bert Mooney,MT,Montana,Butte,Silver Bow
