Date_ID,Full_Date,Year,Month,Day,Quarter,Weekday_Name
1,2013-01-01,2013,1,1,1,Tuesday
2,2013-01-02,2013,1,2,1,Wednesday
3,2013-01-03,2013,1,3,1,Thursday
4,2013-01-04,2013,1,4,1,Friday
5,2013-01-05,2013,1,5,1,Saturday
6,2013-01-06,2013,1,6,1,Sunday
7,2013-01-07,2013,1,7,1,Monday
8,2013-01-08,2013,1,8,1,Tuesday
9,2013-01-09,2013,1,9,1,Wednesday
10,2013-01-10,2013,1,10,1,Thursday
11,2013-01-11,2013,1,11,1,Friday
12,2013-01-12,2013,1,12,1,Saturday
13,2013-01-13,2013,1,13,1,Sunday
14,2013-01-14,2013,1,14,1,Monday
15,2013-01-15,2013,1,15,1,Tuesday
16,2013-01-16,2013,1,16,1,Wednesday
17,2013-01-17,2013,1,17,1,Thursday
18,2013-01-18,2013,1,18,1,Friday
19,2013-01-19,2013,1,19,1,Saturday
20,2013-01-20,2013,1,20,1,Sunday
21,2013-01-21,2013,1,21,1,Monday
22,2013-01-22,2013,1,22,1,Tuesday
23,2013-01-23,2013,1,23,1,Wednesday
24,2013-01-24,2013,1,24,1,Thursday
25,2013-01-25,2013,1,25,1,Friday
26,2013-01-26,2013,1,26,1,Saturday
27,2013-01-27,2013,1,27,1,Sunday
28,2013-01-28,2013,1,28,1,Monday
29,2013-01-29,2013,1,29,1,Tuesday
30,2013-01-30,2013,1,30,1,Wednesday
31,2013-01-31,2013,1,31,1,Thursday
32,2013-02-01,2013,2,1,1,Friday
33,2013-02-02,2013,2,2,1,Saturday
34,2013-02-03,2013,2,3,1,Sunday
35,2013-02-04,2013,2,4,1,Monday
36,2013-02-05,2013,2,5,1,Tuesday
37,2013-02-06,2013,2,6,1,Wednesday
38,2013-02-07,2013,2,7,1,Thursday
39,2013-02-08,2013,2,8,1,Friday
40,2013-02-09,2013,2,9,1,Saturday
41,2013-02-10,2013,2,10,1,Sunday
42,2013-02-11,2013,2,11,1,Monday
43,2013-02-12,2013,2,12,1,Tuesday
44,2013-02-13,2013,2,13,1,Wednesday
45,2013-02-14,2013,2,14,1,Thursday
46,2013-02-15,2013,2,15,1,Friday
47,2013-02-16,2013,2,16,1,Saturday
48,2013-02-17,2013,2,17,1,Sunday
49,2013-02-18,2013,2,18,1,Monday
50,2013-02-19,2013,2,19,1,Tuesday
51,2013-02-20,2013,2,20,1,Wednesday
52,2013-02-21,2013,2,21,1,Thursday
53,2013-02-22,2013,2,22,1,Friday
54,2013-02-23,2013,2,23,1,Saturday
55,2013-02-24,2013,2,24,1,Sunday
56,2013-02-25,2013,2,25,1,Monday
57,2013-02-26,2013,2,26,1,Tuesday
58,2013-02-27,2013,2,27,1,Wednesday
59,2013-02-28,2013,2,28,1,Thursday
60,2013-03-01,2013,3,1,1,Friday
61,2013-03-02,2013,3,2,1,Saturday
62,2013-03-03,2013,3,3,1,Sunday
63,2013-03-04,2013,3,4,1,Monday
64,2013-03-05,2013,3,5,1,Tuesday
65,2013-03-06,2013,3,6,1,Wednesday
66,2013-03-07,2013,3,7,1,Thursday
67,2013-03-08,2013,3,8,1,Friday
68,2013-03-09,2013,3,9,1,Saturday
69,2013-03-10,2013,3,10,1,Sunday
70,2013-03-11,2013,3,11,1,Monday
71,2013-03-12,2013,3,12,1,Tuesday
72,2013-03-13,2013,3,13,1,Wednesday
73,2013-03-14,2013,3,14,1,Thursday
74,2013-03-15,2013,3,15,1,Friday
75,2013-03-16,2013,3,16,1,Saturday
76,2013-03-17,2013,3,17,1,Sunday
77,2013-03-18,2013,3,18,1,Monday
78,2013-03-19,2013,3,19,1,Tuesday
79,2013-03-20,2013,3,20,1,Wednesday
80,2013-03-21,2013,3,21,1,Thursday
81,2013-03-22,2013,3,22,1,Friday
82,2013-03-23,2013,3,23,1,Saturday
83,2013-03-24,2013,3,24,1,Sunday
84,2013-03-25,2013,3,25,1,Monday
85,2013-03-26,2013,3,26,1,Tuesday
86,2013-03-27,2013,3,27,1,Wednesday
87,2013-03-28,2013,3,28,1,Thursday
88,2013-03-29,2013,3,29,1,Friday
89,2013-03-30,2013,3,30,1,Saturday
90,2013-03-31,2013,3,31,1,Sunday
91,2013-04-01,2013,4,1,2,Monday
92,2013-04-02,2013,4,2,2,Tuesday
93,2013-04-03,2013,4,3,2,Wednesday
94,2013-04-04,2013,4,4,2,Thursday
95,2013-04-05,2013,4,5,2,Friday
96,2013-04-06,2013,4,6,2,Saturday
97,2013-04-07,2013,4,7,2,Sunday
98,2013-04-08,2013,4,8,2,Monday
99,2013-04-09,2013,4,9,2,Tuesday
100,2013-04-10,2013,4,10,2,Wednesday
101,2013-04-11,2013,4,11,2,Thursday
102,2013-04-12,2013,4,12,2,Friday
103,2013-04-13,2013,4,13,2,Saturday
104,2013-04-14,2013,4,14,2,Sunday
105,2013-04-15,2013,4,15,2,Monday
106,2013-04-16,2013,4,16,2,Tuesday
107,2013-04-17,2013,4,17,2,Wednesday
108,2013-04-18,2013,4,18,2,Thursday
109,2013-04-19,2013,4,19,2,Friday
110,2013-04-20,2013,4,20,2,Saturday
111,2013-04-21,2013,4,21,2,Sunday
112,2013-04-22,2013,4,22,2,Monday
113,2013-04-23,2013,4,23,2,Tuesday
114,2013-04-24,2013,4,24,2,Wednesday
115,2013-04-25,2013,4,25,2,Thursday
116,2013-04-26,2013,4,26,2,Friday
117,2013-04-27,2013,4,27,2,Saturday
118,2013-04-28,2013,4,28,2,Sunday
119,2013-04-29,2013,4,29,2,Monday
120,2013-04-30,2013,4,30,2,Tuesday
121,2013-05-01,2013,5,1,2,Wednesday
122,2013-05-02,2013,5,2,2,Thursday
123,2013-05-03,2013,5,3,2,Friday
124,2013-05-04,2013,5,4,2,Saturday
125,2013-05-05,2013,5,5,2,Sunday
126,2013-05-06,2013,5,6,2,Monday
127,2013-05-07,2013,5,7,2,Tuesday
128,2013-05-08,2013,5,8,2,Wednesday
129,2013-05-09,2013,5,9,2,Thursday
130,2013-05-10,2013,5,10,2,Friday
131,2013-05-11,2013,5,11,2,Saturday
132,2013-05-12,2013,5,12,2,Sunday
133,2013-05-13,2013,5,13,2,Monday
134,2013-05-14,2013,5,14,2,Tuesday
135,2013-05-15,2013,5,15,2,Wednesday
136,2013-05-16,2013,5,16,2,Thursday
137,2013-05-17,2013,5,17,2,Friday
138,2013-05-18,2013,5,18,2,Saturday
139,2013-05-19,2013,5,19,2,Sunday
140,2013-05-20,2013,5,20,2,Monday
141,2013-05-21,2013,5,21,2,Tuesday
142,2013-05-22,2013,5,22,2,Wednesday
143,2013-05-23,2013,5,23,2,Thursday
144,2013-05-24,2013,5,24,2,Friday
145,2013-05-25,2013,5,25,2,Saturday
146,2013-05-26,2013,5,26,2,Sunday
147,2013-05-27,2013,5,27,2,Monday
148,2013-05-28,2013,5,28,2,Tuesday
149,2013-05-29,2013,5,29,2,Wednesday
150,2013-05-30,2013,5,30,2,Thursday
151,2013-05-31,2013,5,31,2,Friday
152,2013-06-01,2013,6,1,2,Saturday
153,2013-06-02,2013,6,2,2,Sunday
154,2013-06-03,2013,6,3,2,Monday
155,2013-06-04,2013,6,4,2,Tuesday
156,2013-06-05,2013,6,5,2,Wednesday
157,2013-06-06,2013,6,6,2,Thursday
158,2013-06-07,2013,6,7,2,Friday
159,2013-06-08,2013,6,8,2,Saturday
160,2013-06-09,2013,6,9,2,Sunday
161,2013-06-10,2013,6,10,2,Monday
162,2013-06-11,2013,6,11,2,Tuesday
163,2013-06-12,2013,6,12,2,Wednesday
164,2013-06-13,2013,6,13,2,Thursday
165,2013-06-14,2013,6,14,2,Friday
166,2013-06-15,2013,6,15,2,Saturday
167,2013-06-16,2013,6,16,2,Sunday
168,2013-06-17,2013,6,17,2,Monday
169,2013-06-18,2013,6,18,2,Tuesday
170,2013-06-19,2013,6,19,2,Wednesday
171,2013-06-20,2013,6,20,2,Thursday
172,2013-06-21,2013,6,21,2,Friday
173,2013-06-22,2013,6,22,2,Saturday
174,2013-06-23,2013,6,23,2,Sunday
175,2013-06-24,2013,6,24,2,Monday
176,2013-06-25,2013,6,25,2,Tuesday
177,2013-06-26,2013,6,26,2,Wednesday
178,2013-06-27,2013,6,27,2,Thursday
179,2013-06-28,2013,6,28,2,Friday
180,2013-06-29,2013,6,29,2,Saturday
181,2013-06-30,2013,6,30,2,Sunday
182,2013-07-01,2013,7,1,3,Monday
183,2013-07-02,2013,7,2,3,Tuesday
184,2013-07-03,2013,7,3,3,Wednesday
185,2013-07-04,2013,7,4,3,Thursday
186,2013-07-05,2013,7,5,3,Friday
187,2013-07-06,2013,7,6,3,Saturday
188,2013-07-07,2013,7,7,3,Sunday
189,2013-07-08,2013,7,8,3,Monday
190,2013-07-09,2013,7,9,3,Tuesday
191,2013-07-10,2013,7,10,3,Wednesday
192,2013-07-11,2013,7,11,3,Thursday
193,2013-07-12,2013,7,12,3,Friday
194,2013-07-13,2013,7,13,3,Saturday
195,2013-07-14,2013,7,14,3,Sunday
196,2013-07-15,2013,7,15,3,Monday
197,2013-07-16,2013,7,16,3,Tuesday
198,2013-07-17,2013,7,17,3,Wednesday
199,2013-07-18,2013,7,18,3,Thursday
200,2013-07-19,2013,7,19,3,Friday
201,2013-07-20,2013,7,20,3,Saturday
202,2013-07-21,2013,7,21,3,Sunday
203,2013-07-22,2013,7,22,3,Monday
204,2013-07-23,2013,7,23,3,Tuesday
205,2013-07-24,2013,7,24,3,Wednesday
206,2013-07-25,2013,7,25,3,Thursday
207,2013-07-26,2013,7,26,3,Friday
