LocID,Enplanement,Year
ATL,"50,251,964",2017
LAX,"41,232,432",2017
ORD,"38,593,028",2017
DFW,"31,816,933",2017
DEN,"29,809,097",2017
JFK,"29,533,154",2017
SFO,"26,900,048",2017
LAS,"23,364,393",2017
SEA,"22,639,124",2017
CLT,"22,011,251",2017
EWR,"21,571,198",2017
MCO,"21,565,448",2017
PHX,"21,185,458",2017
MIA,"20,709,225",2017
IAH,"19,603,731",2017
BOS,"18,759,742",2017
MSP,"18,409,704",2017
DTW,"17,036,092",2017
FLL,"15,817,043",2017
LGA,"14,614,802",2017
PHL,"14,271,243",2017
BWI,"12,976,554",2017
SLC,"11,615,954",2017
DCA,"11,506,310",2017
SAN,"11,139,933",2017
IAD,"11,024,306",2017
MDW,"10,912,074",2017
HNL,"9,743,989",2017
TPA,"9,548,580",2017
PDX,"9,435,473",2017
DAL,"7,593,361",2017
STL,"7,194,745",2017
BNA,"6,902,771",2017
AUS,"6,813,171",2017
HOU,"6,538,976",2017
OAK,"6,413,842",2017
SJC,"6,130,878",2017
MSY,"6,022,318",2017
RDU,"5,692,659",2017
MCI,"5,628,581",2017
SMF,"5,341,595",2017
SNA,"5,082,716",2017
CLE,"4,446,555",2017
SAT,"4,382,127",2017
RSW,"4,364,224",2017
IND,"4,343,722",2017
PIT,"4,327,434",2017
SJU,"4,203,766",2017
CVG,"3,791,989",2017
CMH,"3,689,570",2017
OGG,"3,442,189",2017
MKE,"3,414,477",2017
BDL,"3,164,647",2017
PBI,"3,110,450",2017
JAX,"2,701,861",2017
ANC,"2,556,191",2017
ABQ,"2,412,328",2017
BUR,"2,402,106",2017
BUF,"2,348,512",2017
ONT,"2,247,645",2017
OMA,"2,243,658",2017
MEM,"2,102,739",2017
RNO,"1,953,028",2017
CHS,"1,945,699",2017
PVD,"1,940,806",2017
OKC,"1,894,289",2017
LGB,"1,830,745",2017
RIC,"1,822,486",2017
BOI,"1,777,642",2017
KOA,"1,764,995",2017
GEG,"1,698,433",2017
ORF,"1,694,329",2017
SDF,"1,684,738",2017
TUS,"1,669,928",2017
GUM,"1,566,429",2017
LIH,"1,535,075",2017
ELP,"1,450,115",2017
SFB,"1,434,990",2017
GRR,"1,412,132",2017
ALB,"1,393,666",2017
TUL,"1,374,424",2017
BHM,"1,333,967",2017
DSM,"1,257,521",2017
ROC,"1,205,774",2017
SAV,"1,192,340",2017
MYR,"1,131,959",2017
PSP,"1,055,970",2017
GSP,"1,051,089",2017
PIE,"1,023,471",2017
SYR,"1,013,149",2017
LIT,"979,530",2017
MHT,"969,229",2017
TYS,"963,752",2017
MSN,"943,363",2017
DAY,"935,373",2017
PWM,"925,903",2017
GSO,"881,024",2017
PNS,"839,248",2017
COS,"815,839",2017
ICT,"789,533",2017
HPN,"759,334",2017
FAT,"755,140",2017
IWA,"704,247",2017
XNA,"698,257",2017
GSN,"685,642",2017
ITO,"664,790",2017
ISP,"648,593",2017
PGD,"643,563",2017
LEX,"637,301",2017
STT,"619,729",2017
CAK,"619,321",2017
BZN,"598,712",2017
SRQ,"590,941",2017
MDT,"582,291",2017
BTV,"578,014",2017
CID,"574,636",2017
VPS,"567,633",2017
ACY,"552,690",2017
FAI,"543,839",2017
FSD,"540,877",2017
EUG,"529,149",2017
HSV,"519,003",2017
MAF,"516,983",2017
CAE,"510,188",2017
SGF,"483,259",2017
CHA,"482,113",2017
AVL,"478,061",2017
JAN,"462,655",2017
LBB,"460,236",2017
ECP,"454,712",2017
MFR,"440,506",2017
ILM,"422,553",2017
JNU,"422,266",2017
BIL,"415,093",2017
FAR,"404,937",2017
FNT,"393,549",2017
EYW,"392,381",2017
MSO,"387,976",2017
BTR,"377,670",2017
PSC,"376,044",2017
BLI,"370,022",2017
RDM,"364,921",2017
TTN,"363,654",2017
FWA,"359,658",2017
SBA,"356,608",2017
TLH,"350,174",2017
DAB,"346,470",2017
JAC,"341,662",2017
MFE,"336,431",2017
GCN,"336,255",2017
MLI,"335,940",2017
AMA,"334,563",2017
CHO,"334,347",2017
ABE,"328,914",2017
GPT,"324,611",2017
CRP,"320,263",2017
PIA,"312,378",2017
ROA,"309,341",2017
SBN,"307,471",2017
BGR,"302,224",2017
AGS,"288,834",2017
MOB,"288,222",2017
RAP,"286,567",2017
GRB,"283,823",2017
ATW,"281,552",2017
BIS,"275,098",2017
HRL,"273,070",2017
GPI,"272,279",2017
SHV,"267,646",2017
AVP,"261,572",2017
1G4,"258,038",2017
BQN,"252,693",2017
