Airport_Code,Airport_Name,City,State,Year,totalclaims
ABE,"Lehigh Valley International Airport, Allentown",Allentown,PA,2013,9
ABE,"Lehigh Valley International Airport, Allentown",Allentown,PA,2014,3
ABE,"Lehigh Valley International Airport, Allentown",Allentown,PA,2015,4
ABE,"Lehigh Valley International Airport, Allentown",Allentown,PA,2016,5
ABE,"Lehigh Valley International Airport, Allentown",Allentown,PA,2017,3
ABI,Abilene Regional,Abilene,TX,2013,4
ABI,Abilene Regional,Abilene,TX,2014,6
ABI,Abilene Regional,Abilene,TX,2015,2
ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,2013,39
ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,2014,33
ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,2015,16
ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,2016,28
ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,2017,44
ABR,Aberdeen Regional Airport,Aberdeen,SD,2013,1
ABR,Aberdeen Regional Airport,Aberdeen,SD,2015,4
ABY,Southwest Georgia Regional Airport,Albany,GA,2016,2
ABY,Southwest Georgia Regional Airport,Albany,GA,2017,1
ACK,Nantucket Memorial Airport,Nantucket,MA,2013,2
ACK,Nantucket Memorial Airport,Nantucket,MA,2014,2
ACK,Nantucket Memorial Airport,Nantucket,MA,2015,1
ACK,Nantucket Memorial Airport,Nantucket,MA,2016,2
ACT,Waco Regional Airport,Waco,TX,2013,2
ACT,Waco Regional Airport,Waco,TX,2014,2
ACT,Waco Regional Airport,Waco,TX,2015,1
ACT,Waco Regional Airport,Waco,TX,2016,2
ACT,Waco Regional Airport,Waco,TX,2017,6
ACV,Arcata-Eureka,Arcata/Eureka,CA,2015,1
ACV,Arcata-Eureka,Arcata/Eureka,CA,2016,2
ACY,Atlantic City International,Atlantic City,NJ,2013,11
ACY,Atlantic City International,Atlantic City,NJ,2014,8
ACY,Atlantic City International,Atlantic City,NJ,2015,6
ACY,Atlantic City International,Atlantic City,NJ,2016,6
ACY,Atlantic City International,Atlantic City,NJ,2017,7
ADK,Adak Mitchell Field Airport,Adak Island,AK,2015,1
ADK,Adak Mitchell Field Airport,Adak Island,AK,2017,1
ADQ,Kodiak State Airport,Kodiak,AK,2014,1
ADQ,Kodiak State Airport,Kodiak,AK,2015,1
AEX,Alexandria International Airport,Alexandria,LA,2013,3
AEX,Alexandria International Airport,Alexandria,LA,2014,1
AEX,Alexandria International Airport,Alexandria,LA,2016,1
AEX,Alexandria International Airport,Alexandria,LA,2017,1
AGS,Bush Field,Augusta,GA,2013,3
AGS,Bush Field,Augusta,GA,2015,3
AGS,Bush Field,Augusta,GA,2016,2
AGS,Bush Field,Augusta,GA,2017,5
AIA,Alliance Municipal Airport,Alliance,NE,2017,1
AKN,King Salmon,King Salmon,AK,2017,1
ALB,Albany International,Albany,NY,2013,22
ALB,Albany International,Albany,NY,2014,21
ALB,Albany International,Albany,NY,2015,22
ALB,Albany International,Albany,NY,2016,18
ALB,Albany International,Albany,NY,2017,17
ALO,Waterloo Municipal Airport,Waterloo,IA,2013,3
ALO,Waterloo Municipal Airport,Waterloo,IA,2015,2
ALW,Walla Walla Regional Airport,Walla Walla,WA,2014,1
ALW,Walla Walla Regional Airport,Walla Walla,WA,2015,2
ALW,Walla Walla Regional Airport,Walla Walla,WA,2016,3
ALW,Walla Walla Regional Airport,Walla Walla,WA,2017,1
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,2013,4
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,2014,2
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,2015,2
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,2016,2
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,2017,4
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,2013,32
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,2014,27
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,2015,30
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,2016,25
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,2017,29
APN,Alpena County Regional Airport,Alpena,MI,2013,1
APN,Alpena County Regional Airport,Alpena,MI,2015,1
ART,Watertown International,Watertown,NY,2013,1
ART,Watertown International,Watertown,NY,2016,1
ART,Watertown International,Watertown,NY,2017,2
ASE,Aspen Pitkin County Sardy Field,Aspen,CO,2013,1
ASE,Aspen Pitkin County Sardy Field,Aspen,CO,2014,2
ASE,Aspen Pitkin County Sardy Field,Aspen,CO,2015,4
ASE,Aspen Pitkin County Sardy Field,Aspen,CO,2016,5
ASE,Aspen Pitkin County Sardy Field,Aspen,CO,2017,5
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2013,318
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2014,305
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2015,332
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2016,352
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2017,377
ATW,Outagamie County,Appleton,WI,2013,1
ATW,Outagamie County,Appleton,WI,2014,3
ATW,Outagamie County,Appleton,WI,2015,2
