Airport_Code,Claim_Type,Year,TotalClaims
ABE,Property Damage,2013,5
ABE,Passenger Property Loss,2013,3
ABE,Unknown,2013,1
ABI,Property Damage,2013,3
ABI,Unknown,2013,1
ABQ,Passenger Property Loss,2013,24
ABQ,Property Damage,2013,14
ABQ,Complaint,2013,1
ABR,Passenger Property Loss,2013,1
ACK,Property Damage,2013,1
ACK,Passenger Property Loss,2013,1
ACT,Property Damage,2013,1
ACT,Passenger Property Loss,2013,1
ACY,Passenger Property Loss,2013,6
ACY,Property Damage,2013,4
ACY,Motor Vehicle,2013,1
AEX,Property Damage,2013,2
AEX,Passenger Property Loss,2013,1
AGS,Passenger Property Loss,2013,2
AGS,Property Damage,2013,1
ALB,Property Damage,2013,11
ALB,Passenger Property Loss,2013,10
ALB,Unknown,2013,1
ALO,Passenger Property Loss,2013,2
ALO,Property Damage,2013,1
AMA,Passenger Property Loss,2013,4
ANC,Passenger Property Loss,2013,19
ANC,Property Damage,2013,13
APN,Passenger Property Loss,2013,1
ART,Passenger Property Loss,2013,1
ASE,Property Damage,2013,1
ATL,Passenger Property Loss,2013,176
ATL,Property Damage,2013,137
ATL,Unknown,2013,3
ATL,Personal Injury,2013,2
ATW,Property Damage,2013,1
AUS,Passenger Property Loss,2013,38
AUS,Property Damage,2013,29
AUS,Personal Injury,2013,1
AVL,Property Damage,2013,5
AVL,Passenger Property Loss,2013,4
AVP,Passenger Property Loss,2013,4
AZO,Unknown,2013,1
AZO,Property Damage,2013,1
BDL,Passenger Property Loss,2013,21
BDL,Property Damage,2013,14
BFL,Passenger Property Loss,2013,3
BFL,Property Damage,2013,1
BGM,Passenger Property Loss,2013,3
BGM,Property Damage,2013,1
BGR,Passenger Property Loss,2013,2
BGR,Property Damage,2013,1
BHB,Passenger Property Loss,2013,1
BHM,Passenger Property Loss,2013,8
BHM,Property Damage,2013,4
BHM,Personal Injury,2013,1
BIL,Passenger Property Loss,2013,5
BIL,Property Damage,2013,2
BIS,Passenger Property Loss,2013,1
BJI,Passenger Property Loss,2013,2
BJI,Property Damage,2013,1
BKG,Property Damage,2013,2
BKG,Passenger Property Loss,2013,2
BLI,Passenger Property Loss,2013,3
BLI,Property Damage,2013,3
BLV,Property Damage,2013,1
BMI,Passenger Property Loss,2013,2
BMI,Property Damage,2013,1
BNA,Passenger Property Loss,2013,24
BNA,Property Damage,2013,23
BNA,Personal Injury,2013,1
BOI,Passenger Property Loss,2013,8
BOI,Property Damage,2013,4
BOS,Passenger Property Loss,2013,160
BOS,Property Damage,2013,108
BOS,Personal Injury,2013,3
BOS,Unknown,2013,1
BPT,Passenger Property Loss,2013,1
BQN,Property Damage,2013,1
BQN,Unknown,2013,1
BRL,Passenger Property Loss,2013,1
BRO,Passenger Property Loss,2013,1
BTR,Passenger Property Loss,2013,3
BTR,Property Damage,2013,1
BTV,Passenger Property Loss,2013,7
BTV,Property Damage,2013,3
BTV,Unknown,2013,1
BUF,Passenger Property Loss,2013,25
BUF,Property Damage,2013,15
BUF,Personal Injury,2013,1
BUR,Property Damage,2013,12
BUR,Passenger Property Loss,2013,6
BUR,Personal Injury,2013,2
BUR,Complaint,2013,1
BWI,Passenger Property Loss,2013,96
BWI,Property Damage,2013,50
BWI,Unknown,2013,1
BZN,Passenger Property Loss,2013,4
BZN,Property Damage,2013,3
CAE,Passenger Property Loss,2013,5
CAE,Property Damage,2013,1
CAK,Passenger Property Loss,2013,6
CAK,Property Damage,2013,2
CDC,Property Damage,2013,1
CEC,Passenger Property Loss,2013,1
CEZ,Property Damage,2013,1
CHA,Property Damage,2013,3
CHA,Passenger Property Loss,2013,2
CHO,Passenger Property Loss,2013,8
CHO,Property Damage,2013,1
CHO,Complaint,2013,1
CHS,Passenger Property Loss,2013,14
CHS,Property Damage,2013,7
CIC,Passenger Property Loss,2013,1
CID,Property Damage,2013,5
CID,Passenger Property Loss,2013,3
CID,Personal Injury,2013,1
CKB,Passenger Property Loss,2013,1
CLE,Passenger Property Loss,2013,14
CLE,Property Damage,2013,8
CLL,Passenger Property Loss,2013,2
CLL,Property Damage,2013,1
CLT,Passenger Property Loss,2013,87
CLT,Property Damage,2013,43
CLT,Unknown,2013,1
CLT,Complaint,2013,1
CMH,Passenger Property Loss,2013,16
CMH,Property Damage,2013,13
CMH,Personal Injury,2013,1
COD,Property Damage,2013,1
COS,Passenger Property Loss,2013,11
COS,Property Damage,2013,7
CPR,Motor Vehicle,2013,1
CRP,Passenger Property Loss,2013,3
CRP,Property Damage,2013,3
CRW,Passenger Property Loss,2013,1
CSG,Passenger Property Loss,2013,1
CVG,Passenger Property Loss,2013,18
CVG,Property Damage,2013,14
CVG,Personal Injury,2013,1
CWA,Passenger Property Loss,2013,1
CWA,Property Damage,2013,1
DAB,Passenger Property Loss,2013,2
DAB,Property Damage,2013,1
DAL,Property Damage,2013,15
DAL,Passenger Property Loss,2013,15
DAL,Personal Injury,2013,1
DAY,Property Damage,2013,5
DAY,Passenger Property Loss,2013,3
DCA,Passenger Property Loss,2013,51
DCA,Property Damage,2013,28
DCA,Personal Injury,2013,1
DEN,Passenger Property Loss,2013,118
DEN,Property Damage,2013,80
DEN,Personal Injury,2013,3
DEN,Motor Vehicle,2013,1
DFW,Passenger Property Loss,2013,128
DFW,Property Damage,2013,79
DFW,Unknown,2013,4
DFW,Personal Injury,2013,3
DHN,Property Damage,2013,1
DIK,Passenger Property Loss,2013,1
DRO,Passenger Property Loss,2013,4
DSM,Property Damage,2013,5
DSM,Passenger Property Loss,2013,5
DTW,Passenger Property Loss,2013,39
DTW,Property Damage,2013,20
EAT,Property Damage,2013,2
EAT,Passenger Property Loss,2013,1
EAU,Property Damage,2013,1
ECP,Property Damage,2013,2
ECP,Passenger Property Loss,2013,2
EGE,Passenger Property Loss,2013,3
ELM,Passenger Property Loss,2013,1
ELP,Passenger Property Loss,2013,8
ELP,Property Damage,2013,4
ELP,Unknown,2013,1
ENA,Passenger Property Loss,2013,1
ENV,Property Damage,2013,1
ERI,Property Damage,2013,1
ESC,Passenger Property Loss,2013,2
ESC,Property Damage,2013,1
EUG,Passenger Property Loss,2013,8
EUG,Property Damage,2013,7
EVV,Passenger Property Loss,2013,1
EWN,Passenger Property Loss,2013,1
EWN,Property Damage,2013,1
EWR,Passenger Property Loss,2013,219
EWR,Property Damage,2013,130
EWR,Personal Injury,2013,2
EWR,Unknown,2013,1
EWR,Complaint,2013,1
EYW,Property Damage,2013,1
EYW,Passenger Property Loss,2013,1
F,Passenger Property Loss,2013,66
F,Property Damage,2013,20
F,Unknown,2013,1
FAI,Passenger Property Loss,2013,4
FAI,Property Damage,2013,4
FAR,Passenger Property Loss,2013,4
FAT,Passenger Property Loss,2013,4
FAT,Property Damage,2013,3
FAT,Unknown,2013,1
FAY,Passenger Property Loss,2013,1
FLG,Property Damage,2013,1
FLL,Passenger Property Loss,2013,118
FLL,Property Damage,2013,73
FLL,Personal Injury,2013,4
FLL,Unknown,2013,1
FLO,Property Damage,2013,1
FLO,Passenger Property Loss,2013,1
FNT,Passenger Property Loss,2013,5
FNT,Property Damage,2013,1
FSM,Property Damage,2013,2
FWA,Passenger Property Loss,2013,1
FWA,Property Damage,2013,1
GBD,Passenger Property Loss,2013,2
GEG,Passenger Property Loss,2013,22
GEG,Property Damage,2013,13
GFK,Passenger Property Loss,2013,2
GFK,Property Damage,2013,1
GGG,Passenger Property Loss,2013,1
GGG,Property Damage,2013,1
GJT,Passenger Property Loss,2013,2
GLH,Property Damage,2013,2
GNV,Passenger Property Loss,2013,1
GNV,Property Damage,2013,1
GPI,Property Damage,2013,4
GPI,Passenger Property Loss,2013,1
GPT,Property Damage,2013,3
GPT,Passenger Property Loss,2013,2
GRB,Property Damage,2013,3
GRB,Passenger Property Loss,2013,2
GRI,Passenger Property Loss,2013,1
GRK,Passenger Property Loss,2013,1
GRR,Property Damage,2013,4
GRR,Passenger Property Loss,2013,1
GSN,Property Damage,2013,1
GSO,Passenger Property Loss,2013,8
GSO,Property Damage,2013,4
GSP,Property Damage,2013,12
GSP,Passenger Property Loss,2013,5
GTF,Passenger Property Loss,2013,1
GTR,Property Damage,2013,2
GTR,Passenger Property Loss,2013,1
GUC,Property Damage,2013,2
GUM,Passenger Property Loss,2013,5
GUM,Property Damage,2013,5
GYY,Property Damage,2013,1
HDN,Passenger Property Loss,2013,1
HDQ,Personal Injury,2013,1
HGR,Passenger Property Loss,2013,1
HLN,Passenger Property Loss,2013,1
HNL,Passenger Property Loss,2013,96
HNL,Property Damage,2013,40
HNL,Personal Injury,2013,1
HNL,Complaint,2013,1
HOM,Property Damage,2013,1
HOU,Passenger Property Loss,2013,35
HOU,Property Damage,2013,23
HPN,Passenger Property Loss,2013,8
HPN,Property Damage,2013,6
HRL,Passenger Property Loss,2013,7
HSV,Passenger Property Loss,2013,3
HSV,Property Damage,2013,1
HSV,Personal Injury,2013,1
HVN,Passenger Property Loss,2013,1
HXD,Passenger Property Loss,2013,2
HXD,Property Damage,2013,1
HXD,Personal Injury,2013,1
IAD,Passenger Property Loss,2013,110
IAD,Property Damage,2013,94
IAD,Personal Injury,2013,2
IAG,Passenger Property Loss,2013,3
IAG,Property Damage,2013,3
IAH,Passenger Property Loss,2013,105
IAH,Property Damage,2013,89
ICT,Property Damage,2013,3
ICT,Passenger Property Loss,2013,3
IDA,Passenger Property Loss,2013,1
IFP,Passenger Property Loss,2013,1
IFP,Property Damage,2013,1
ILG,Property Damage,2013,2
ILM,Passenger Property Loss,2013,5
ILM,Property Damage,2013,3
IMT,Passenger Property Loss,2013,1
IND,Passenger Property Loss,2013,29
IND,Property Damage,2013,26
INL,Passenger Property Loss,2013,2
IPT,Passenger Property Loss,2013,2
ISP,Property Damage,2013,6
ISP,Passenger Property Loss,2013,5
ITH,Passenger Property Loss,2013,5
ITH,Property Damage,2013,1
ITO,Passenger Property Loss,2013,9
ITO,Property Damage,2013,5
ITO,Unknown,2013,1
IWA,Passenger Property Loss,2013,4
IWA,Property Damage,2013,1
JAN,Passenger Property Loss,2013,16
JAN,Property Damage,2013,1
JAX,Passenger Property Loss,2013,16
JAX,Property Damage,2013,10
JAX,Personal Injury,2013,2
JFK,Passenger Property Loss,2013,488
JFK,Property Damage,2013,200
JFK,Personal Injury,2013,4
JFK,Unknown,2013,3
JFK,Motor Vehicle,2013,1
JHW,Property Damage,2013,1
JLN,Passenger Property Loss,2013,1
JNU,Property Damage,2013,3
KOA,Property Damage,2013,11
KOA,Passenger Property Loss,2013,11
KTN,Passenger Property Loss,2013,3
KTN,Property Damage,2013,1
LAN,Property Damage,2013,1
LAN,Passenger Property Loss,2013,1
LAS,Passenger Property Loss,2013,143
LAS,Property Damage,2013,86
LAS,Complaint,2013,2
LAS,Personal Injury,2013,2
LAS,Motor Vehicle,2013,1
LAS,Unknown,2013,1
LAW,Passenger Property Loss,2013,1
LAW,Property Damage,2013,1
LAX,Passenger Property Loss,2013,316
LAX,Property Damage,2013,153
LAX,Unknown,2013,2
LAX,Personal Injury,2013,2
LBB,Property Damage,2013,2
LBE,Passenger Property Loss,2013,11
LBE,Property Damage,2013,3
LEX,Property Damage,2013,4
LEX,Passenger Property Loss,2013,1
LFT,Passenger Property Loss,2013,5
LFT,Property Damage,2013,1
LGA,Passenger Property Loss,2013,102
LGA,Property Damage,2013,55
