Airport_Code,Airport_Name,City,State,Year,Claim_Type,Total_Close_Amount
ABE,"Lehigh Valley International Airport, Allentown",Allentown,PA,2013,Passenger Property Loss,$199.95
ABE,"Lehigh Valley International Airport, Allentown",Allentown,PA,2013,Property Damage,$347.74
ABE,"Lehigh Valley International Airport, Allentown",Allentown,PA,2013,Unknown,
ABE,"Lehigh Valley International Airport, Allentown",Allentown,PA,2014,Passenger Property Loss,
ABE,"Lehigh Valley International Airport, Allentown",Allentown,PA,2014,Property Damage,$130.00
ABE,"Lehigh Valley International Airport, Allentown",Allentown,PA,2015,Passenger Property Loss,$60.00
ABE,"Lehigh Valley International Airport, Allentown",Allentown,PA,2015,Property Damage,$180.00
ABE,"Lehigh Valley International Airport, Allentown",Allentown,PA,2016,Passenger Property Loss,$0.00
ABE,"Lehigh Valley International Airport, Allentown",Allentown,PA,2016,Property Damage,$0.00
ABE,"Lehigh Valley International Airport, Allentown",Allentown,PA,2017,Property Damage,
ABI,Abilene Regional,Abilene,TX,2013,Property Damage,$524.00
ABI,Abilene Regional,Abilene,TX,2013,Unknown,
ABI,Abilene Regional,Abilene,TX,2014,Passenger Property Loss,
ABI,Abilene Regional,Abilene,TX,2014,Property Damage,$64.94
ABI,Abilene Regional,Abilene,TX,2015,Passenger Property Loss,$200.00
ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,2013,Complaint,
ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,2013,Passenger Property Loss,$802.04
ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,2013,Property Damage,$601.58
ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,2014,Passenger Property Loss,$201.76
ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,2014,Property Damage,$725.79
ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,2015,Passenger Property Loss,$136.49
ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,2015,Property Damage,$121.89
ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,2015,Unknown,
ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,2016,Passenger Property Loss,$163.00
ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,2016,Property Damage,$183.99
ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,2017,Passenger Property Loss,$22.77
ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,2017,Property Damage,$285.99
ABR,Aberdeen Regional Airport,Aberdeen,SD,2013,Passenger Property Loss,$0.00
ABR,Aberdeen Regional Airport,Aberdeen,SD,2015,Complaint,
ABR,Aberdeen Regional Airport,Aberdeen,SD,2015,Passenger Property Loss,
ABR,Aberdeen Regional Airport,Aberdeen,SD,2015,Property Damage,
ABY,Southwest Georgia Regional Airport,Albany,GA,2016,Passenger Property Loss,$52.47
ABY,Southwest Georgia Regional Airport,Albany,GA,2017,Property Damage,
ACK,Nantucket Memorial Airport,Nantucket,MA,2013,Passenger Property Loss,
ACK,Nantucket Memorial Airport,Nantucket,MA,2013,Property Damage,
ACK,Nantucket Memorial Airport,Nantucket,MA,2014,Passenger Property Loss,$50.00
ACK,Nantucket Memorial Airport,Nantucket,MA,2014,Property Damage,$120.00
ACK,Nantucket Memorial Airport,Nantucket,MA,2015,Passenger Property Loss,$0.00
ACK,Nantucket Memorial Airport,Nantucket,MA,2016,Property Damage,
ACT,Waco Regional Airport,Waco,TX,2013,Passenger Property Loss,$0.00
ACT,Waco Regional Airport,Waco,TX,2013,Property Damage,$0.00
ACT,Waco Regional Airport,Waco,TX,2014,Passenger Property Loss,
ACT,Waco Regional Airport,Waco,TX,2014,Unknown,
ACT,Waco Regional Airport,Waco,TX,2015,Passenger Property Loss,$0.00
ACT,Waco Regional Airport,Waco,TX,2016,Passenger Property Loss,$8.51
ACT,Waco Regional Airport,Waco,TX,2017,Passenger Property Loss,$4.99
ACV,Arcata-Eureka,Arcata/Eureka,CA,2015,Passenger Property Loss,$0.00
ACV,Arcata-Eureka,Arcata/Eureka,CA,2016,Passenger Property Loss,$0.00
ACV,Arcata-Eureka,Arcata/Eureka,CA,2016,Property Damage,
ACY,Atlantic City International,Atlantic City,NJ,2013,Motor Vehicle,"$2,233.86"
ACY,Atlantic City International,Atlantic City,NJ,2013,Passenger Property Loss,$108.95
ACY,Atlantic City International,Atlantic City,NJ,2013,Property Damage,$905.00
ACY,Atlantic City International,Atlantic City,NJ,2014,Passenger Property Loss,$6.44
ACY,Atlantic City International,Atlantic City,NJ,2014,Property Damage,$650.10
ACY,Atlantic City International,Atlantic City,NJ,2015,Passenger Property Loss,$38.00
ACY,Atlantic City International,Atlantic City,NJ,2015,Property Damage,$109.42
ACY,Atlantic City International,Atlantic City,NJ,2016,Missed Flight,
ACY,Atlantic City International,Atlantic City,NJ,2016,Passenger Property Loss,$42.92
ACY,Atlantic City International,Atlantic City,NJ,2016,Property Damage,$660.83
ACY,Atlantic City International,Atlantic City,NJ,2017,Complaint,
ACY,Atlantic City International,Atlantic City,NJ,2017,Passenger Property Loss,
ACY,Atlantic City International,Atlantic City,NJ,2017,Property Damage,$140.00
ADK,Adak Mitchell Field Airport,Adak Island,AK,2015,Passenger Property Loss,$0.00
ADK,Adak Mitchell Field Airport,Adak Island,AK,2017,Passenger Property Loss,
ADQ,Kodiak State Airport,Kodiak,AK,2014,Property Damage,$65.01
ADQ,Kodiak State Airport,Kodiak,AK,2015,Property Damage,$0.00
AEX,Alexandria International Airport,Alexandria,LA,2013,Passenger Property Loss,$18.97
AEX,Alexandria International Airport,Alexandria,LA,2013,Property Damage,$35.00
AEX,Alexandria International Airport,Alexandria,LA,2014,Property Damage,$0.00
AEX,Alexandria International Airport,Alexandria,LA,2016,Property Damage,$0.00
AEX,Alexandria International Airport,Alexandria,LA,2017,Passenger Property Loss,
